idAvis;idClient;idSalle;avis
1;1;1;Fabuleux, je reviendrais !
2;2;2;Des énigmes biens corsés, on ne peut pas arriver sans connaître le sujet.
3;3;3;Ambiance calme et reposante, je me suis amusé.
4;4;4;Très festif mais assez enfantin, je ne recommande pas pour des adultes.
5;5;1;Mes enfants on adorés !
6;6;2;Quel univers magique, j'avais l'impression d'être plongé dans un comte de fée...
7;7;3;Chaleureux on se sent comme à la maison
8;8;4;Pas assez de variété, tout le groupe n'était pas conquis.
9;9;1;Génial, j'ai tout réussis !
10;10;2;Pour un gourmand comme moi, rien de mieux.
11;11;3;On à l'impression d'être nous même un personnage du décor tellement celui-ci est réaliste.
12;12;4;Sans connaissances approfondies assez difficile de finir le jeu.
13;13;1;Que de bons moments passés, je ne suis jamais déçu à chaque fois que je viens.
14;14;2;La tête dans les étoiles... C'est le cas de le dire !
15;15;3;Nous avons adoré ce moment qui nous donne l'impression de s'éloigner de la ville pendant quelques heures.
16;16;4;On apprend en s'amusant.
17;17;1;Tellement de stress de ne pas arrivé à terminer les énigmes, le temps passe trop vite, pas le temps de réfléchir...
18;18;2;Totalement imerger dans le thème, je me sentais comme un acteur à Hollywood.
19;19;3;On est loin du stade de France mais c'est une bonne tentative de reconstitution.
20;20;4;Pour un fan d'art comme moi vous m'avez envoyé au paradis.
